,0
0,0.3272421360015869
1,0.4599663317203522
2,0.5061312913894653
3,0.5371483564376831
4,0.5811493396759033
5,0.5910074710845947
6,0.6152921319007874
7,0.6333253383636475
8,0.6518393754959106
9,0.6547247171401978
10,0.6744409799575806
11,0.6899951696395874
12,0.6872596144676208
13,0.6924002170562744
14,0.7105769515037537
15,0.7203654646873474
16,0.7268574237823486
17,0.7162779569625854
18,0.732868492603302
19,0.7361712455749512
20,0.7262019515037537
21,0.7446501851081848
22,0.7660495042800903
23,0.767011284828186
24,0.7578744888305664
25,0.7768694162368774
26,0.7840307950973511
27,0.7845636010169983
28,0.7802884578704834
29,0.7919672727584839
30,0.7783653736114502
31,0.7999038100242615
32,0.784375011920929
33,0.819908618927002
34,0.8049542903900146
35,0.8052884340286255
36,0.8090887069702148
37,0.8170233368873596
38,0.8189468383789062
39,0.8088482618331909
40,0.8319307565689087
41,0.8246753215789795
42,0.8341346383094788
43,0.8256373405456543
44,0.8355769515037537
45,0.8242365717887878
46,0.8591007590293884
47,0.846116840839386
48,0.8530896902084351
49,0.8410293459892273
50,0.8526442050933838
51,0.8415484428405762
52,0.8540514707565308
53,0.8650793433189392
54,0.8583794236183167
55,0.8610242605209351
56,0.8687499761581421
57,0.8602693676948547
58,0.8677566647529602
59,0.8658654093742371
60,0.8672438859939575
61,0.8598557710647583
62,0.8802596926689148
63,0.8689273595809937
64,0.8768934607505798
65,0.8668269515037537
66,0.8759018778800964
67,0.8768934607505798
68,0.8860303163528442
69,0.8817023038864136
70,0.8783653974533081
71,0.880471408367157
72,0.8889155983924866
73,0.8872596025466919
74,0.8867244124412537
75,0.8925222158432007
76,0.8764423131942749
77,0.893217921257019
78,0.8918269276618958
79,0.899230420589447
80,0.8949266672134399
81,0.8857898712158203
82,0.8884347081184387
83,0.9035825729370117
84,0.8934839963912964
85,0.9086538553237915
86,0.8975468873977661
87,0.8963693380355835
88,0.8982928395271301
89,0.9014186263084412
90,0.9016590714454651
91,0.8995192050933838
92,0.8970658779144287
93,0.9093531966209412
94,0.9021634459495544
95,0.9066858887672424
96,0.9083914160728455
97,0.905987024307251
98,0.9124789834022522
99,0.9031016826629639
100,0.9071892499923706
101,0.9168069362640381
102,0.9165664911270142
103,0.9055288434028625
104,0.9110149145126343
105,0.9132002592086792
106,0.9148833751678467
107,0.9107958674430847
108,0.9213942289352417
109,0.9155844449996948
110,0.9146429300308228
111,0.9216157793998718
112,0.9165664911270142
113,0.9201731085777283
114,0.9129598736763
115,0.9199326634407043
116,0.9199326634407043
117,0.913921594619751
118,0.9211538434028625
119,0.9131793975830078
120,0.9185096025466919
121,0.9312169551849365
122,0.9156047105789185
123,0.9119980931282043
124,0.9278672933578491
125,0.9240201711654663
126,0.9156047105789185
127,0.9257032871246338
128,0.9242606163024902
129,0.9201731085777283
130,0.9228180050849915
131,0.9172878265380859
132,0.9228180050849915
133,0.9285714030265808
134,0.9283654093742371
135,0.932195246219635
136,0.9269055128097534
137,0.9273864030838013
138,0.928348183631897
139,0.9317143559455872
140,0.9309930205345154
141,0.924981951713562
142,0.9326761364936829
143,0.9312334656715393
144,0.928348183631897
145,0.932195246219635
146,0.9391680955886841
147,0.9355614185333252
148,0.9199326634407043
149,0.9314739108085632
150,0.9326761364936829
151,0.9304954409599304
152,0.9307525753974915
153,0.9300312399864197
154,0.932692289352417
155,0.9406107068061829
156,0.9398893713951111
157,0.9336219429969788
158,0.939408540725708
159,0.9399038553237915
160,0.9333974719047546
161,0.9401154518127441
162,0.9401442408561707
163,0.9396489262580872
164,0.9377104640007019
165,0.9399038553237915
166,0.9427609443664551
167,0.9389423131942749
168,0.9434824585914612
169,0.9408511519432068
170,0.9341346025466919
171,0.9382063150405884
172,0.9425204396247864
173,0.9372445344924927
174,0.9459134340286255
175,0.9391680955886841
176,0.9437364935874939
177,0.9377254247665405
178,0.947343111038208
179,0.9446849226951599
180,0.9384467601776123
181,0.9451923370361328
182,0.9461279511451721
183,0.939408540725708
184,0.9444711804389954
185,0.9427747130393982
186,0.9437364935874939
187,0.9466217756271362
188,0.9490262269973755
189,0.9427747130393982
190,0.9345839619636536
191,0.9492788314819336
192,0.9432419538497925
193,0.947343111038208
194,0.942307710647583
195,0.9466217756271362
196,0.9531024694442749
197,0.9439769387245178
198,0.9444711804389954
199,0.9497354626655579
